Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
312149583.458192	243793038.058066	373971029.553701	239442568.203304	238200.000000	1125.756699	61973159.769390
312092128.469086	243873392.469157	374032050.525520	239537156.726168	238300.000000	1125.511446	62090348.356276
312034653.459514	243953731.235959	374093041.793837	239631735.241092	238400.000000	1125.266493	62207535.025774
311977158.433796	244034054.353816	374154003.415081	239726303.743395	238500.000000	1125.021840	62324719.789333
311919643.396257	244114361.818072	374214935.445409	239820862.228465	238600.000000	1124.777486	62441902.658437
311862108.351221	244194653.624073	374275837.940706	239915410.691752	238700.000000	1124.533429	62559083.644605
311804553.303012	244274929.767165	374336710.956589	240009949.128776	238800.000000	1124.289669	62676262.759394
311746978.255957	244355190.242696	374397554.548407	240104477.535118	238900.000000	1124.046203	62793440.014394
311689383.214383	244435435.046016	374458368.771242	240198995.906425	239000.000000	1123.803032	62910615.421230
311631768.182616	244515664.172475	374519153.679913	240293504.238408	239100.000000	1123.560154	63027788.991558
311574133.164986	244595877.617423	374579909.328979	240388002.526838	239200.000000	1123.317567	63144960.737066
311516478.165823	244676075.376215	374640635.772737	240482490.767552	239300.000000	1123.075271	63262130.669475
311458803.189456	244756257.444204	374701333.065227	240576968.956444	239400.000000	1122.833265	63379298.800532
311401108.240218	244836423.816745	374762001.260231	240671437.089472	239500.000000	1122.591548	63496465.142017
311343393.322440	244916574.489195	374822640.411280	240765895.162654	239600.000000	1122.350117	63613629.705738
311285658.440454	244996709.456911	374883250.571650	240860343.172066	239700.000000	1122.108973	63730792.503530
311227903.598597	245076828.715252	374943831.794366	240954781.113844	239800.000000	1121.868115	63847953.547255
311170128.801202	245156932.259578	375004384.132204	241049208.984183	239900.000000	1121.627540	63965112.848800
311112334.052604	245237020.085251	375064907.637695	241143626.779333	240000.000000	1121.387249	64082270.420080
311054519.357142	245317092.187633	375125402.363122	241238034.495605	240100.000000	1121.147240	64199426.273031
310996684.719152	245397148.562088	375185868.360525	241332432.129364	240200.000000	1120.907512	64316580.419618
310938830.142973	245477189.203980	375246305.681701	241426819.677031	240300.000000	1120.668064	64433732.871825
310880955.632944	245557214.108676	375306714.378210	241521197.135084	240400.000000	1120.428895	64550883.641661
310823061.193406	245637223.271543	375367094.501368	241615564.500054	240500.000000	1120.190004	64668032.741154
310765146.828699	245717216.687949	375427446.102258	241709921.768528	240600.000000	1119.951390	64785180.182355
310707212.543166	245797194.353265	375487769.231726	241804268.937145	240700.000000	1119.713052	64902325.977337
310649258.341149	245877156.262861	375548063.940383	241898606.002599	240800.000000	1119.474988	65019470.138188
310591284.226993	245957102.412110	375608330.278611	241992932.961636	240900.000000	1119.237199	65136612.677021
310533290.205042	246037032.796385	375668568.296560	242087249.811053	241000.000000	1118.999683	65253753.605963
310475276.279641	246116947.411060	375728778.044149	242181556.547701	241100.000000	1118.762438	65370892.937161
310417242.455138	246196846.251512	375788959.571071	242275853.168479	241200.000000	1118.525464	65488030.682778
310359188.735880	246276729.313118	375849112.926796	242370139.670339	241300.000000	1118.288761	65605166.854994
310301115.126214	246356596.591255	375909238.160565	242464416.050282	241400.000000	1118.052326	65722301.466006
310243021.630491	246436448.081303	375969335.321400	242558682.305359	241500.000000	1117.816159	65839434.528025
310184908.253060	246516283.778644	376029404.458098	242652938.432670	241600.000000	1117.580260	65956566.053277
310126774.998272	246596103.678658	376089445.619241	242747184.429364	241700.000000	1117.344626	66073696.054002
310068621.870479	246675907.776730	376149458.853188	242841420.292636	241800.000000	1117.109258	66190824.542456
310010448.874033	246755696.068243	376209444.208085	242935646.019731	241900.000000	1116.874154	66307951.530904
309952256.013289	246835468.548583	376269401.731861	243029861.607940	242000.000000	1116.639313	66425077.031626
309894043.292601	246915225.213137	376329331.472230	243124067.054601	242100.000000	1116.404734	66542201.056915
309835810.716324	246994966.057292	376389233.476697	243218262.357098	242200.000000	1116.170417	66659323.619073
